[g6k_env] chdir -> /home/pyjast1123/workspace/builds/g6k
[enum_sieve_server] dims 70..110 (41), files=369, beta=40, steps_mult=1, prefetch=2
[260/369] ENUM_SIEVE dim98 seed33 b1/GH=2.4141 t=2.359s (0.68 files/s)
[261/369] ENUM_SIEVE dim98 seed6139 b1/GH=2.2018 t=2.372s (0.68 files/s)
[262/369] ENUM_SIEVE dim99 seed1042 b1/GH=2.2494 t=2.466s (0.68 files/s)
[263/369] ENUM_SIEVE dim99 seed1145 b1/GH=2.1366 t=2.458s (0.68 files/s)
[264/369] ENUM_SIEVE dim99 seed1251 b1/GH=2.2705 t=2.503s (0.68 files/s)
[265/369] ENUM_SIEVE dim99 seed1445 b1/GH=2.3430 t=2.511s (0.67 files/s)
[266/369] ENUM_SIEVE dim99 seed1679 b1/GH=2.0298 t=2.474s (0.67 files/s)
[267/369] ENUM_SIEVE dim99 seed487 b1/GH=2.2377 t=2.506s (0.67 files/s)
[268/369] ENUM_SIEVE dim99 seed5569 b1/GH=2.1678 t=2.52s (0.67 files/s)
[269/369] ENUM_SIEVE dim99 seed603 b1/GH=2.3068 t=2.467s (0.67 files/s)
