dim,seed,method,pipeline,norm,gh,norm_over_gh,log_det,file,status,error
87,9651,bkz20_30,20+30,5042.92653129113,2385.308207642394,2.114161396474416,602.9796897071875,svp_dim87_seed9651.txt,ok,
87,9651,bkz20_30_40,20+30+40,4845.330432488582,2385.308207642394,2.0313225842113045,602.9796897071875,svp_dim87_seed9651.txt,ok,
88,0,lll,LLL,4850.988765190038,2391.435548498445,2.0284840075392867,609.6599657294337,svp_dim88_seed0.txt,ok,
88,0,bkz20,20,4850.988765190038,2391.435548498445,2.0284840075392867,609.6599657294337,svp_dim88_seed0.txt,ok,
88,0,bkz20_30,20+30,4850.988765190038,2391.435548498445,2.0284840075392867,609.6599657294337,svp_dim88_seed0.txt,ok,
88,0,bkz20_30_40,20+30+40,4850.988765190038,2391.435548498445,2.0284840075392867,609.6599657294337,svp_dim88_seed0.txt,ok,
88,1,lll,LLL,5524.367837137568,2381.228133047362,2.3199658027170176,609.2835495437505,svp_dim88_seed1.txt,ok,
88,1,bkz20,20,5296.87879793374,2381.228133047362,2.224431470644139,609.2835495437505,svp_dim88_seed1.txt,ok,
88,1,bkz20_30,20+30,5296.87879793374,2381.228133047362,2.224431470644139,609.2835495437505,svp_dim88_seed1.txt,ok,
88,1,bkz20_30_40,20+30+40,5296.87879793374,2381.228133047362,2.224431470644139,609.2835495437505,svp_dim88_seed1.txt,ok,
88,2,lll,LLL,5133.238841121661,2386.639796642782,2.150822611917576,609.483314557348,svp_dim88_seed2.txt,ok,
88,2,bkz20,20,4793.756355927994,2386.639796642782,2.008579745745979,609.483314557348,svp_dim88_seed2.txt,ok,
88,2,bkz20_30,20+30,4793.756355927994,2386.639796642782,2.008579745745979,609.483314557348,svp_dim88_seed2.txt,ok,
88,2,bkz20_30_40,20+30+40,4793.756355927994,2386.639796642782,2.008579745745979,609.483314557348,svp_dim88_seed2.txt,ok,
88,3,lll,LLL,4901.0112221867,2390.9548849152106,2.0498133415681337,609.642276502234,svp_dim88_seed3.txt,ok,
88,3,bkz20,20,4901.0112221867,2390.9548849152106,2.0498133415681337,609.642276502234,svp_dim88_seed3.txt,ok,
88,3,bkz20_30,20+30,4901.0112221867,2390.9548849152106,2.0498133415681337,609.642276502234,svp_dim88_seed3.txt,ok,
